Taxon_name	Attribute
Georgenia 	facultatively anaerobic
Anaeroglobus	anaerobic
Thioalkalicoccus	anaerobic
Dysgonomonas	facultatively anaerobic
Reichenbachiella	aerobic
Jeotgalibacillus	facultatively anaerobic
Cellulosimicrobium	facultatively anaerobic
Hahella	facultatively anaerobic
Cedecea	facultatively anaerobic
Moellerella	facultatively anaerobic
Trabulsiella	facultatively anaerobic
Yokenella	facultatively anaerobic
Thermovenabulum	anaerobic
Ureibacillus	aerobic
Methylosarcina	aerobic
Planomicrobium	aerobic
Oerskovia 	facultatively anaerobic
Lentzea	aerobic
Sphingopyxis	aerobic
Anaerococcus	anaerobic
Sporanaerobacter	anaerobic
Caminicella	anaerobic
Lechevalieria	aerobic
Ilyobacter	anaerobic
Sneathia	anaerobic
Citricoccus	aerobic
Caloranaerobacter	anaerobic
Halosimplex	aerobic
Eremococcus	facultatively anaerobic
Dolosicoccus	facultatively anaerobic
Victivallis	anaerobic
Gemmatimonas	aerobic
Allobaculum	anaerobic
Anaerophaga	anaerobic
Opitutus	anaerobic
Arenibacter	aerobic
Smithella	anaerobic
Kribbella 	aerobic
Oceanobacillus 	aerobic
Oceanobacillus 	anaerobic
Macromonas	aerobic
Varibaculum	facultatively anaerobic
Methylocapsa	aerobic
Xylanimonas 	aerobic
Xylanimonas 	facultatively anaerobic
Gelria	anaerobic
Plantibacter	aerobic
Sedimentibacter	anaerobic
Turicibacter	anaerobic
Pelotomaculum	anaerobic
Conexibacter	aerobic
Marinilactibacillus	facultatively anaerobic
Allofustis	facultatively anaerobic
Rhodoglobus	aerobic
Alysiella	aerobic
Asanoa	aerobic
Scardovia	anaerobic
Parascardovia	anaerobic
Caldisphaera	anaerobic
Brumimicrobium 	facultatively anaerobic
Meniscus	anaerobic
Paraliobacillus 	facultatively anaerobic
Thermanaeromonas	anaerobic
Propionimicrobium	anaerobic
Halobiforma	aerobic
Longispora	aerobic
Derxia 	aerobic
Skermanella	facultatively anaerobic
Dichotomicrobium 	aerobic
Seliberia	aerobic
Anaerostipes	anaerobic
Solirubrobacter	aerobic
Allisonella	anaerobic
Anoxynatronum	anaerobic
Kineosphaera	aerobic
Mesophilobacter	aerobic
Rhizobacter	aerobic
Rugamonas 	aerobic
Enhydrobacter 	facultatively anaerobic
Tepidibacter	anaerobic
Croceibacter	aerobic
Arcicella	aerobic
Kordia	aerobic
Yaniella	aerobic
Formosa 	aerobic
Thermodesulfobium	anaerobic
Cerasibacillus	aerobic
Xylanibacterium 	aerobic
Xylanibacterium 	facultatively anaerobic
Methanolacinia	anaerobic
Mesonia	aerobic
Belliella	aerobic
Salinibacterium	aerobic
Propionicimonas 	facultatively anaerobic
Fastidiosipila	anaerobic
Ulvibacter	aerobic
Akkermansia	anaerobic
Aeriscardovia 	anaerobic
Hespellia	anaerobic
Anaerotruncus	anaerobic
Methylohalobius	aerobic
Gillisia	aerobic
Crocinitomix	aerobic
Algoriphagus	aerobic
Cryomorpha	aerobic
Bryantella	anaerobic
Marvinbryantia	anaerobic
Caldanaerobacter	anaerobic
Maribacter	aerobic
Natronolimnobius	aerobic
Myceligenerans	aerobic
Soehngenia	anaerobic
Isoptericola	facultatively anaerobic
Pseudoclavibacter	aerobic
Lentisphaera	aerobic
Millisia	aerobic
Anaerofustis	anaerobic
Blastopirellula	aerobic
Rhodopirellula	aerobic
Oribacterium	anaerobic
Serinicoccus	aerobic
Arsenicicoccus	facultatively anaerobic
Owenweeksia	aerobic
Atopococcus	aerobic
Alkalibacter	anaerobic
Thermincola	anaerobic
Aquiflexum	aerobic
Jiangella	aerobic
Leeuwenhoekiella	aerobic
Bizionia	aerobic
Stackebrandtia	aerobic
Winogradskyella	aerobic
Alkaliflexus	anaerobic
Tenuibacillus	aerobic
Segniliparus	aerobic
Yeosuana	aerobic
Pontibacillus	aerobic
Xylanimicrobium	anaerobic
Aquimarina	aerobic
Roseivirga	aerobic
Cryptanaerobacter	anaerobic
Subsaximicrobium	aerobic
Subsaxibacter	aerobic
Lacinutrix	aerobic
Acaricomes	aerobic
Atopostipes	facultatively anaerobic
Subdoligranulum	anaerobic
Laceyella	aerobic
Thermoflavimicrobium	aerobic
Seinonella	aerobic
Gramella	aerobic
Chthoniobacter	aerobic
Terrimonas	aerobic
Adhaeribacter	aerobic
Lactovum	anaerobic
Halolactibacillus 	aerobic
Petrimonas	anaerobic
Gaetbulibacter 	aerobic
Methylothermus	aerobic
Leadbetterella	aerobic
Sphaerisporangium	aerobic
Pontibacter	aerobic
Dokdonia	aerobic
Krokinobacter	aerobic
Cohnella	aerobic
Kribbia	facultatively anaerobic
Planifilum	aerobic
Fluviicola	aerobic
Larkinella	aerobic
Goodfellowiella	aerobic
Olleya	aerobic
Rhodonellum	aerobic
Microcella	aerobic
Polymorphospora	aerobic
Costertonia	aerobic
Wautersiella	aerobic
Oryzihumus	aerobic
Paludibacter	anaerobic
Propionicicella 	facultatively anaerobic
Krasilnikovia	aerobic
Luedemannella	aerobic
Yonghaparkia	aerobic
Lutibacter	aerobic
Thermopolyspora	aerobic
Rubritalea 	facultatively anaerobic
Patulibacter	aerobic
Donghaeana 	aerobic
Nonlabens	aerobic
Persicivirga	aerobic
Sandarakinotalea	aerobic
Stenothermobacter	aerobic
Aureispira	aerobic
Phycicoccus	aerobic
Flaviramulus	aerobic
Brooklawnia	facultatively anaerobic
Zhihengliuella	aerobic
Carbophilus	aerobic
Haloplanus	anaerobic
Edaphobacter 	aerobic
Puniceicoccus	facultatively anaerobic
Sediminicola	aerobic
Labedella	aerobic
Echinicola	aerobic
Actinocatenispora	aerobic
Terriglobus 	aerobic
Methanoregula	anaerobic
Aestuariimicrobium	aerobic
Lapillicoccus	aerobic
Actinomycetospora	aerobic
Haloactinospora	aerobic
Catenulispora	aerobic
Alloscardovia 	anaerobic
Metascardovia	facultatively anaerobic
Humibacter	aerobic
Desulfurivibrio	anaerobic
Fodinicola	aerobic
Moryella	anaerobic
Fabibacter	aerobic
Frondihabitans	aerobic
Granulicoccus	facultatively anaerobic
Pelagicoccus 	facultatively anaerobic
Iamia	aerobic
Shimazuella	aerobic
Mechercharimyces	aerobic
Nitrososphaera	aerobic
Methanolinea	anaerobic
Cloacibacterium 	facultatively anaerobic
Acidiplasma	facultatively anaerobic
Desulfurispora	anaerobic
Microterricola	aerobic
Rhodoluna	aerobic
Acetofilamentum	anaerobic
Zhouia	aerobic
Methanocella	anaerobic
Umezawaea	aerobic
Ruania	aerobic
Marinactinospora	aerobic
Haloglycomyces	aerobic
Plantactinospora	aerobic
Serinibacter 	aerobic
Serinibacter 	anaerobic
Halogranum	aerobic
Methylovulum	aerobic
Phytohabitans	aerobic
Euzebya	aerobic
Angustibacter 	facultatively anaerobic
Yimella 	aerobic
Natronoarchaeum 	aerobic
Miniimonas	facultatively anaerobic
Halopelagius	aerobic
Kistimonas 	aerobic
Kistimonas 	facultatively anaerobic
Trueperella 	facultatively anaerobic
Halorussus	aerobic
Halobellus	aerobic
Halorientalis	aerobic
Halolamina	aerobic
Salarchaeum	aerobic
Acidicapsa 	aerobic
Alpinimonas 	aerobic
Methyloferula	aerobic
Methylovirgula	aerobic
Defluviitalea	anaerobic
Rugosimonospora	aerobic
Haloactinopolyspora	aerobic
Methylomarinum	aerobic
Compostimonas	aerobic
Halorubellus	aerobic
Salinarchaeum	aerobic
Methylorosula	aerobic
